job_title,company,location,is_remote,role_category,seniority_level,is_aggregator,skills_str
Backend Developer,"Spatial Front, Inc",Remote,yes,backend_developer,,no,"python, java, sql, node.js, aws, docker, kubernetes"
Backend Developer (Streaming Focus),"Network Designs, Inc.",Remote,yes,backend_developer,,no,"java, aws, docker, kubernetes, git"
Java Backend Developer,Openkyber,Remote,yes,backend_developer,,no,"java, sql"
Software Developer (backend),Ennoble First,Remote,yes,backend_developer,,no,"python, java, css, linux"
Software Engineer III - Backend,Walmart,Remote,yes,backend_developer,,no,"python, java, c++, sql, aws, excel, git"
Mid level Backend Developer,Surge InfoTech LLC,Remote,yes,backend_developer,mid,no,"java, javascript, html, css, react, angular, aws, docker, kubernetes, excel, git"
BackEnd Developer,Viper Staffing Services L.L.C.,Remote,yes,backend_developer,,yes,"python, java, sql"
Backend Developer,"System One Holdings, LLC",Remote,yes,backend_developer,,no,"java, sql, azure, docker, power bi, git"
Backend Developer,eSimplicity,Remote,yes,backend_developer,,no,"aws, excel, git, rest api"
Backend Web Developer,LT Consulting,Remote,yes,backend_developer,,yes,"python, java, sql, aws, docker, kubernetes, git"
AWS Java Backend Developer,Diverse Linx,Remote,yes,backend_developer,,no,"java, javascript, sql, html, css, react, angular, docker, kubernetes, git"
Backend Developer with GraphQL,Technology Ventures,Remote,yes,backend_developer,,no,"java, javascript, sql, html, css, angular, aws, docker, kubernetes, git"
Backend Engineer,"Booz Allen Hamilton, Inc.",Remote,yes,backend_developer,,no,"python, sql, aws, azure, docker, git"
Backend Developer ( Scala / Golang),"Pyramid Consulting, Inc",Remote,yes,backend_developer,,yes,"sql, aws, docker, kubernetes"
Senior Backend Java Developer,ARETUM Holdings LLC,Remote,yes,backend_developer,senior,no,"python, java, sql, aws, docker, excel, git"
Back End Developer,Wimmer Solutions,Remote,yes,backend_developer,,no,"python, sql, aws, azure, machine learning, excel"
Backend Developer (Data Engineer) with Python/NiFi - TS/SCI w/ Poly required,Leading Path Consulting,Remote,yes,backend_developer,,yes,"python, java, aws"
Principal Backend Engineer,Twenty,Remote,yes,backend_developer,principal,no,"aws, kubernetes, git"
Software Developer II/Backend,Volkswagen AG,Remote,yes,backend_developer,mid,no,"python, java, javascript, sql, html, css, aws, excel, linux"
Senior Backend Engineer,Progressive Technology Solutions,Remote,yes,backend_developer,senior,no,"java, sql, azure, docker, power bi, git"
Back-End Developer,Aerstone,Remote,yes,backend_developer,,no,"python, java, javascript, sql, aws, docker, excel"
Backend Developer,Sivad Consulting,Remote,yes,backend_developer,,no,"python, java, javascript, sql, node.js, aws, docker, kubernetes, excel"
